"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalNieuwvormingen_8";"TotaalEndocrieneVoedingsStofwZ_32";"TotaalPsychischeStoornissen_35";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66"
"809";"T001038";"10000";"CR11  ";"2022JJ00";"     448";"      39";"     140";"     370";"      78";"      39";"      39";"     137";"     123";"       6";"      33";"      64";"       2";"      62";"      20";"      15";"       4";"      11"
"810";"T001038";"10000";"CR11  ";"2023JJ00";"     429";"      26";"     169";"     381";"      81";"      57";"      24";"     142";"     143";"       7";"      40";"      72";"       1";"      71";"      24";"      16";"       5";"      11"
"811";"T001038";"10000";"CR11  ";"2024JJ00";"     411";"      30";"     172";"     396";"      69";"      46";"      23";"     155";"     139";"      22";"      50";"      51";"       1";"      50";"      16";"      25";"       8";"      17"
"838";"T001038";"10000";"CR12  ";"2022JJ00";"    1891";"     176";"     609";"    1624";"     314";"     173";"     141";"     609";"     535";"      19";"     137";"     307";"      10";"     297";"      72";"      60";"      20";"      40"
"839";"T001038";"10000";"CR12  ";"2023JJ00";"    1964";"     146";"     604";"    1525";"     302";"     197";"     105";"     551";"     594";"      17";"     183";"     305";"      11";"     294";"      89";"      53";"      17";"      36"
"840";"T001038";"10000";"CR12  ";"2024JJ00";"    1901";"     137";"     682";"    1554";"     284";"     166";"     118";"     567";"     632";"      36";"     171";"     313";"      10";"     303";"     112";"      58";"      13";"      45"
"867";"T001038";"10000";"CR13  ";"2022JJ00";"    1893";"     180";"     539";"    1689";"     334";"     186";"     148";"     611";"     505";"      14";"     147";"     274";"      12";"     262";"      70";"      47";"      22";"      25"
"868";"T001038";"10000";"CR13  ";"2023JJ00";"    1912";"     148";"     528";"    1613";"     368";"     225";"     143";"     535";"     554";"      19";"     200";"     246";"       6";"     240";"      89";"      46";"      16";"      30"
"869";"T001038";"10000";"CR13  ";"2024JJ00";"    1850";"     141";"     589";"    1679";"     374";"     233";"     141";"     554";"     647";"      53";"     219";"     290";"      10";"     280";"      85";"      60";"      23";"      37"
"896";"T001038";"10000";"CR14  ";"2022JJ00";"    1416";"     109";"     404";"    1157";"     210";"     117";"      93";"     421";"     354";"      23";"      71";"     199";"       3";"     196";"      61";"      39";"      11";"      28"
